Monitoramento e Diagnóstico - ECU v2.0

Data: 04/06/2016
Hora: 11:49

Versão da aplicação: 2.6.5.0
Firmware Gerenciamento: 1.5.5
Firmware Sincronismo: 1.2.8
Firmware Comunicação: 1.3.1

Ensaio para identificação do sistema 'veículo+ECUv2'
Entrada u(t): Ref de Torque (pedal)
Saída y(t): Velocidade (km/h)
Taxa de amostragem (ms): 50
Tempo de medição (s): 40
Instante do degrau (s): 5
Amplitude do degrau: 35
Marcha Engatada: 3
Modo de operação: Normal
Temperatura do Motor: 90,10ºC

t0_Aquisicao(ms); tf_Aquisicao(ms); RefTorque; Veloc(km/h); RefTorque (ECU); Rotacao; RefVB; VB; MAP(kPa); Tinj(ms);

29; 41; 0,00; 18; 0,00; 938; 550; 551; 27,35; 3,94;
79; 89; 0,00; 18; 0,00; 945; 550; 551; 28,46; 3,91;
129; 137; 0,00; 18; 0,00; 936; 550; 552; 26,83; 3,91;
179; 197; 0,00; 18; 0,00; 936; 550; 554; 28,46; 3,93;
229; 245; 0,00; 18; 0,00; 941; 550; 552; 26,94; 3,91;
279; 293; 0,00; 18; 0,00; 940; 550; 550; 28,29; 3,92;
329; 341; 0,00; 18; 0,00; 940; 550; 550; 27,02; 3,92;
380; 389; 0,00; 18; 0,00; 940; 550; 552; 27,66; 3,91;
429; 437; 0,00; 18; 0,00; 941; 550; 552; 27,24; 3,92;
479; 485; 0,00; 18; 0,00; 942; 550; 551; 27,30; 3,93;
529; 549; 0,00; 18; 0,00; 944; 550; 552; 28,71; 3,93;
579; 597; 0,00; 18; 0,00; 930; 550; 551; 26,80; 3,93;
629; 645; 0,00; 18; 0,00; 930; 550; 552; 28,38; 3,93;
679; 693; 0,00; 18; 0,00; 944; 550; 551; 26,83; 3,93;
729; 741; 0,00; 18; 0,00; 941; 550; 551; 28,29; 3,92;
779; 789; 0,00; 18; 0,00; 932; 550; 552; 27,02; 3,92;
829; 837; 0,00; 18; 0,00; 932; 550; 551; 27,55; 3,94;
879; 885; 0,00; 18; 0,00; 946; 550; 552; 27,02; 3,94;
931; 949; 0,00; 18; 0,00; 936; 550; 551; 27,35; 3,95;
979; 997; 0,00; 18; 0,00; 940; 550; 551; 28,51; 3,93;
1029; 1045; 0,00; 18; 0,00; 940; 550; 552; 27,13; 3,93;
1079; 1093; 0,00; 18; 0,00; 938; 550; 550; 28,35; 3,95;
1130; 1141; 0,00; 18; 0,00; 929; 550; 551; 26,83; 3,93;
1179; 1189; 0,00; 18; 0,00; 940; 550; 552; 28,38; 3,93;
1229; 1237; 0,00; 18; 0,00; 937; 550; 551; 26,97; 3,93;
1279; 1285; 0,00; 18; 0,00; 937; 550; 551; 28,16; 3,92;
1329; 1349; 0,00; 18; 0,00; 939; 550; 551; 27,05; 3,94;
1379; 1397; 0,00; 18; 0,00; 933; 550; 551; 27,49; 3,92;
1429; 1445; 0,00; 18; 0,00; 936; 550; 552; 27,35; 3,92;
1479; 1493; 0,00; 18; 0,00; 936; 550; 551; 27,49; 3,93;
1529; 1541; 0,00; 18; 0,00; 938; 550; 551; 28,63; 3,93;
1579; 1589; 0,00; 18; 0,00; 941; 550; 552; 27,00; 3,92;
1629; 1637; 0,00; 18; 0,00; 938; 550; 552; 28,27; 3,91;
1679; 1685; 0,00; 18; 0,00; 934; 550; 551; 26,91; 3,91;
1729; 1749; 0,00; 18; 0,00; 934; 550; 552; 28,46; 3,92;
1779; 1797; 0,00; 18; 0,00; 934; 550; 551; 27,05; 3,90;
1829; 1845; 0,00; 18; 0,00; 939; 550; 552; 28,05; 3,92;
1879; 1893; 0,00; 18; 0,00; 941; 550; 550; 26,94; 3,92;
1929; 1941; 0,00; 18; 0,00; 941; 550; 551; 27,49; 3,89;
1979; 1989; 0,00; 18; 0,00; 936; 550; 552; 27,88; 3,91;
2029; 2037; 0,00; 18; 0,00; 936; 550; 551; 27,35; 3,93;
2079; 2085; 0,00; 18; 0,00; 938; 550; 552; 28,43; 3,90;
2129; 2149; 0,00; 18; 0,00; 942; 550; 551; 26,80; 3,90;
2179; 2197; 0,00; 18; 0,00; 942; 550; 551; 28,35; 3,90;
2229; 2246; 0,00; 18; 0,00; 934; 550; 551; 26,80; 3,92;
2279; 2294; 0,00; 18; 0,00; 944; 550; 550; 28,40; 3,93;
2329; 2346; 0,00; 18; 0,00; 942; 550; 547; 26,88; 3,93;
2379; 2394; 0,00; 18; 0,00; 942; 550; 552; 27,58; 3,94;
2429; 2442; 0,00; 18; 0,00; 940; 550; 550; 27,35; 3,92;
2479; 2490; 0,00; 18; 0,00; 929; 550; 551; 27,35; 3,93;
2529; 2538; 0,00; 18; 0,00; 948; 550; 551; 28,82; 3,92;
2580; 2586; 0,00; 18; 0,00; 933; 550; 552; 26,72; 3,92;
2629; 2634; 0,00; 18; 0,00; 933; 550; 552; 28,38; 3,94;
2679; 2698; 0,00; 18; 0,00; 942; 550; 551; 26,75; 3,92;
2729; 2746; 0,00; 18; 0,00; 937; 550; 546; 28,24; 3,92;
2779; 2794; 0,00; 18; 0,00; 940; 550; 551; 26,91; 3,92;
2829; 2842; 0,00; 18; 0,00; 940; 550; 552; 27,60; 3,91;
2879; 2890; 0,00; 18; 0,00; 937; 550; 552; 27,13; 3,92;
2929; 2938; 0,00; 18; 0,00; 943; 550; 551; 27,33; 3,93;
2979; 2986; 0,00; 18; 0,00; 929; 550; 552; 28,49; 3,94;
3029; 3034; 0,00; 18; 0,00; 929; 550; 551; 26,91; 3,94;
3079; 3098; 0,00; 18; 0,00; 945; 550; 552; 28,27; 3,92;
3129; 3146; 0,00; 18; 0,00; 934; 550; 551; 26,83; 3,93;
3179; 3194; 0,00; 18; 0,00; 928; 550; 551; 28,35; 3,94;
3229; 3242; 0,00; 18; 0,00; 936; 550; 552; 27,02; 3,94;
3279; 3290; 0,00; 18; 0,00; 936; 550; 551; 28,02; 3,93;
3330; 3338; 0,00; 18; 0,00; 942; 550; 551; 26,97; 3,91;
3379; 3386; 0,00; 18; 0,00; 932; 550; 551; 27,49; 3,91;
3429; 3450; 0,00; 18; 0,00; 928; 550; 551; 27,35; 3,91;
3479; 3498; 0,00; 18; 0,00; 928; 550; 556; 27,35; 3,91;
